博物馆信息统计(找不到内容的填NULL)								
Num(用于标识，留空)	M_Cname(中文名）	M_Ename(英文名)	M_Batch(批次）	Province(所属省份)	M_Address(地址)	M_web(官网）	微信公众号	备注
120403	安徽省地质博物馆	Anhui Geological Museum	4	安徽	安徽省合肥市政务区仙龙湖路999号	http://ahgm.org.cn/ahgm/ahgm/index.html		安徽古生物化石博物馆、安徽省古生物化石科学研究所
120404	隋唐大运河博物馆/淮北市博物馆	Huaibei Museum/Sui Tang Da Yun He Museum	4	安徽	安徽省淮北市相山区博物馆路1号	http://www.hbbwg.net/?shouye.html		
120405	宿州市博物馆	Suzhou Museum	4	安徽	安徽省宿州市埇桥区博物馆路1号	http://www.sz-museum.com/		与苏州博物馆同英文名
120406	蚌埠市博物馆	Bengbu Museum	4	安徽	安徽省蚌埠市东海大道市民广场	https://www.ahbbmuseum.com/		
130101	福建博物院	Fujian Museum	1	福建	福建省福州市鼓楼区湖头街96号	http://museum.fjsen.com/		
130102	古田会议纪念馆	Site of the Gutian Conference	1	福建	福建省龙岩市上杭县古田镇古田路85号	http://www.gthyjng.com/		
130103	福建省泉州海外交通史博物馆	Quanzhou Maritime Museum Fujian	1	福建	泉州市丰泽区东湖街425号	http://www.qzhjg.cn/html/index.html		
130104	中国闽台缘博物馆	China Museum for Fujian Taiwan kinship	1	福建	福建泉州北清东路212号	http://www.mtybwg.org.cn/index.aspx		
130305	中央苏区（闽西）历史博物馆	Central Soviet Area (Minxi) History	3	福建	福建省龙岩市北环西路51号	http://hsmxbwg.com/		
140101	井冈山革命博物馆	Museum of Revolution in Jinggang Mountains	1	江西	江西省井冈山茨坪红军南路	http://www.jgsgmbwg.com/		
140102	江西省博物馆	Jiangxi Provincial Museum	1	江西	江西省南昌市赣江北大道698号	http://www.jxmuseum.cn/Home/Index		
140103	瑞金中央革命根据地纪念馆/瑞金中央革命根据地历史博物馆	Ruijin Revolutionary Memorial	1	江西	瑞金城西苏维埃纪念园内	http://www.rjjng.com.cn/treasure/		百度应用中官网，打不开且未搜到公众号
140104	南昌八一起义纪念馆	Nanchang August 1st memorial Hall	1	江西	江西省南昌市中山路380号 南昌八一起义纪念馆	http://www.81-china.com/		
140305	安源路矿工工人运动纪念馆	Memorial Hall of Railway Workers and CoalMiners	3	江西	江西省萍乡市安源区安源镇安源路矿工工人运动纪念馆	http://www.aymuseum.com/		
140406	八大山人纪念馆	Badashanren Memorial Hall	4	江西	南昌市青云谱区青云谱路259号	http://www.bdsrjng.cn/home/index.htm		
140407	九江市博物馆	Jiujiang Museum	4	江西	江西省九江市八里湖新区文博园内（胜利碑下）	http://www.jjmuseum.cn/lib/Index.html		找到了官网
140408	江西省庐山博物馆	Lushan Museum	4	江西	江西省九江市庐山区牯岭东谷	http://www.lushanmuseum.com/		
140409	赣州市博物馆	NULL	4	江西	中央苏区历史博物馆即赣州市红色文化馆：江西省赣州市章贡区兴国路15号/赣州市博物馆新馆:章江新区长宁路城市花园西侧	http://www.gzsbwg.cn/		
140410	景德镇中国陶瓷博物馆	NULL	4	江西	江西省景德镇市昌江区紫晶北路1号	http://www.zgtcbwg.com/index.php?s=/home/article/page/id/39.html	景德镇中国陶瓷博物馆：jdztcbwg	微信公众号20150618，官网不稳定
140411	萍乡博物馆	Pingxiang Museum	4	江西	江西省萍乡市安源区滨河东路376号	http://www.pxmuseum.com/		
150101	青岛市博物馆	NULL	1	山东	中国山东省 青岛市崂山区梅岭东路51号	http://www.qingdaomuseum.com/	qdmuseum	
150102	中国甲午战争博物馆	Jiawuzhanzheng.CN	1	山东	山东省威海市环翠区丁公路	http://www.jiawuzhanzheng.cn/		官网只有英文域名，地址来源于百度百科，官网只有一个通讯地址：威海市少年路2号（中国甲午战争博物馆学术研究中心）
150103	青州博物馆	Qingzhou Museum	1	山东	山东省青州市范公亭西路1号	http://www.qingzhoumuseum.cn/		
150201	山东博物馆	SHAN DONG MUSEUM	2	山东	济南市经十路11899号	http://www.sdmuseum.com/		
150301	烟台市博物馆	Yantai Museum	3	山东	烟台市南大街61号	http://www.ytmuseum.com/		
150302	潍坊市博物馆	WEIFANGMUSEUM	3	山东	:潍坊市东风东街6616号	http://www.wfsbwg.com/		
150401	孔子博物馆	Confucius Museum	4	山东	山东省曲阜市孔子大道100号	http://www.kzbwg.cn/		地址来源与百度百科
150402	济南市博物馆	Jinan City Museum	4	山东	山东省济南市经十一路30号	http://www.jnmuseum.com/#/		地址英文名均来自百度百科
150403	济南市章丘区博物馆 / 章丘市博物馆	NULL	4	山东	山东省济南市章丘区清照路135号	NULL	ZQQBWG	地址和馆名来源与百度百科，馆名有争议：济南市章丘区博物馆 / 章丘市博物馆
150404	山东大学博物馆	SHANDONG UNIVERSERITY MUSEUM	4	山东	山东省济南市山大南路27号山东大学中心校区知新楼A座	http://museum.sdu.edu.cn/		
150405	青岛啤酒博物馆	NULL	4	山东	山东省青岛市 登州路56-1号	NULL	qdpjbwg	地址来源于百度
150406	青岛山炮台遗址展览馆	NULL	4	山东	青岛市京山路26号	http://www.qdyzyzmuseum.com/	NULL	没有公众号
150407	淄博市陶瓷博物馆	ZIBO CERAMICS MUSEUM	4	山东	山东省淄博市张店区华光路320号淄博市文化中心	http://www.zbstcbwg.cn/		
150408	齐文化博物院	Qi Heritage Museum	4	山东	山东省淄博市临淄区临淄大道308号	http://www.qiheritagemuseum.com/		
150409	滕州市博物馆	TENGZHOU MUSEUM	4	山东	滕州市龙泉广场	http://www.tengzhoumuseum.com/		
150410	滕州汉画像石馆	Tengzhou Museum of Han Carved Stones 	4	山东	滕州市府前东路1号	http://www.tzhhxsg.com/		
150411	济宁市博物馆	Jining Museum	4	山东	济宁市太白湖新区运河路140号	http://www.jiningmuseum.com/home.do		英文名来自百度百科
150412	临沂市博物馆	LIN YI MUSEUM	4	山东	山东省临沂市博物馆（北城新区兰陵路）	http://museum.linyi.cn/		
160101	河南博物院	HENAN MUSEUM	1	河南	中国•河南省郑州市农业路8号	http://www.chnmus.net/		
160102	郑州博物馆	Zhengzhou Museum	1	河南	郑州市嵩山南路168号	http://www.hnzzmuseum.com/		英文名来自百度百科
